,0
0,Alaska
1,Arizona
2,Colorado
3,Connecticut
4,Hawaii
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Minnesota
10,Montana
11,Nebraska
12,New Hampshire
13,North Dakota
14,Oregon
15,South Dakota
16,Utah
17,Wisconsin
18,Wyoming
